Unnamed: 0,reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope1_emissions_tco2e,total_scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_mwh,grid_conencted,grid,fuel_source,year,notes,search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
10,AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,1608089.0,446691.0,0.0,727.0,727,0.0,On,NEM,Hydro,2014,,"Dartmouth Hydro, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
11,AGL ENERGY LIMITED,Eildon Hydro,F,VIC,710341.0,197317.0,20.0,153.0,173,0.0,On,NEM,Hydro,2014,,"Eildon Hydro, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
12,AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,42254.0,11737.0,0.0,16.0,16,0.0,On,NEM,Hydro,2014,,"Glenbawn Hydro, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
13,AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,43117.0,11977.0,745.0,1.0,746,0.06,On,NEM,Landfill Gas,2014,,"Glenorchy Landfill Generation, TAS, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
14,AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1136668.0,315741.0,135.0,217.0,352,0.0,On,NEM,Wind,2014,,"Hallett (Stage 1) Wind Farm, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
15,AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,858516.0,238477.0,85.0,187.0,272,0.0,On,NEM,Wind,2014,,"Hallett (Stage 2) Wind Farm, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
16,AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1543714.0,428809.0,133.0,360.0,493,0.0,On,NEM,Wind,2014,,"Hallett (Stage 4) Wind Farm, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
17,AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,489049.0,135847.0,75.0,175.0,250,0.0,On,NEM,Wind,2014,,"Hallett (Stage 5) Wind Farm, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
18,AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,27374.0,7604.0,427.0,0.0,427,0.06,On,NEM,Landfill Gas,2014,,"Hobart Landfill Generation, TAS, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
19,AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,901.0,250.0,355.0,869.0,1224,1.42,On,NEM,Gas,2014,,"Hunter Valley Gas Turbines, NSW, Australia",-32.3891902,150.966266,-32.3896556,-32.3887661,150.9656846,150.9670209,"Hunter Valley Gas Turbines, Muswellbrook, Muswellbrook Shire Council, New South Wales, 2333, Australia",way,699642478,nominatim,ok,exact
20,AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,14613.0,4059.0,238.0,5.0,243,0.06,On,NEM,Landfill Gas,2014,,"Kincumber Landfill Generation, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
21,AGL ENERGY LIMITED,Liddell Power Station,F,NSW,24864251.0,6906736.0,6514993.0,46355.0,6561348,0.94,On,NEM,Black Coal,2014,,"Liddell Power Station, NSW, Australia",-32.3718204,150.9779565,-32.3745372,-32.3691035,150.9756641,150.9802489,"Liddell Power Station, Muswellbrook, Muswellbrook Shire Council, New South Wales, 2333, Australia",way,171863885,nominatim,ok,exact
22,AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,58415084.0,16226412.0,18508708.0,268516.0,18777224,1.14,On,NEM,Brown Coal,2014,,"Loy Yang Power Station and Mine, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
23,AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,3589748.0,997152.0,371.0,2655.0,3026,0.0,On,NEM,Wind,2014,,"Macarthur Wind Farm, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
24,AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,317552.0,88209.0,0.0,6185.0,6185,0.0,On,NEM,Hydro,2014,,"McKay Creek Hydro, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
25,AGL ENERGY LIMITED,Moranbah Power Station,F,QLD,82912.0,23031.0,12327.0,1142.0,13469,0.54,On,NEM,Coal Seam Methane,2014,,"Moranbah Power Station, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
26,AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,33769.0,9380.0,9.0,59.0,68,0.0,On,NEM,Solar,2014,,"Nyngan Solar Plant, NSW, Australia",-31.556484,147.0860758,-31.5658419,-31.545139,147.070777,147.1016255,"Nyngan Solar Plant, Nyngan, Bogan Shire Council, New South Wales, 2825, Australia",way,392445480,nominatim,ok,exact
27,AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,526539.0,146261.0,68.0,637.0,705,0.0,On,NEM,Wind,2014,,"Oaklands Hill Wind Farm, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
28,AGL ENERGY LIMITED,Rockingham Landfill Generation,F,WA,77364.0,21490.0,1320.0,6.0,1326,0.06,On,SWIS,Landfill Gas,2014,,"Rockingham Landfill Generation, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
29,AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,167206.0,46446.0,0.0,47.0,47,0.0,On,NEM,Hydro,2014,,"Rubicon Hydro Scheme, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
30,AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,19739.0,5483.0,356.0,8.0,364,0.06,On,NEM,Landfill Gas,2014,,"Shoalhaven Landfill Generation, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
31,AGL ENERGY LIMITED,Somerton Power Station,F,VIC,37669.0,10464.0,8378.0,2036.0,10414,0.8,On,NEM,Gas,2014,,"Somerton Power Station, VIC, Australia",-37.6316012,144.9525619,-37.6321677,-37.6310625,144.9518473,144.9538411,"Somerton Power Station, Somerton, Melbourne, City of Hume, Victoria, 3062, Australia",way,242552875,nominatim,ok,exact
32,AGL ENERGY LIMITED,Suncoast Biomass Generation Plant,F,QLD,3091.0,859.0,38.0,69.0,107,0.04,On,NEM,Macadamia Nut Shells,2014,,"Suncoast Biomass Generation Plant, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
33,AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,6057169.0,1682547.0,983263.0,15130.0,998393,0.58,On,NEM,Gas/Diesel,2014,,"Torrens Island Power Station, SA, Australia",-34.8064918,138.5231308,-34.8088737,-34.8041312,138.5203674,138.5258815,"Torrens Island Power Station, Torrens Island, Unincorporated Area Torrens Island, South Australia, 5960, Australia",way,172714953,nominatim,ok,exact
34,AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,937578.0,260438.0,49.0,229.0,278,0.0,On,NEM,Wind,2014,,"Wattle Point Wind Farm, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
35,AGL ENERGY LIMITED,Werribee Biogas Generator,F,VIC,196824.0,54673.0,2902.0,1498.0,4400,0.05,On,NEM,Biogas,2014,,"Werribee Biogas Generator, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
36,AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,422961.0,117489.0,0.0,1709.0,1709,0.0,On,NEM,Hydro,2014,,"West Kiewa Hydro, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
37,AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,SA,3172.0,881.0,624.0,0.0,624,0.71,Off,Off-grid,Solar,2014,,"Wilpena Pound Solar Generation, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
38,AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,NSW,31209.0,8669.0,469.0,2.0,471,0.05,On,NEM,Landfill Gas,2014,,"Woy Woy Landfill Generation, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
39,AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,180662.0,50184.0,0.0,46.0,46,0.0,On,NEM,Hydro,2014,,"Yarrawonga Hydro, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
40,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,5900732.0,1639092.0,1301720.0,246.0,1301966,0.79,On,SWIS,Gas,2014,,"Alinta Pinjarra Generation Facility, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
41,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Wagerup Generation Facility,F,WA,637048.0,176958.0,111432.0,6229.0,117661,0.63,On,SWIS,Gas/Diesel,2014,,"Alinta Wagerup Generation Facility, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
42,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Anglesea Power Station,F,VIC,4536940.0,1260261.0,1374358.0,411.0,1374769,1.09,On,NEM,Brown Coal,2014,,"Anglesea Power Station, VIC, Australia",-38.3873205,144.1847292,-38.3873705,-38.3872705,144.1846792,144.1847792,"Anglesea Power Station Lookout, Camp Road, Anglesea, Surf Coast Shire, Victoria, 3230, Australia",node,522690120,nominatim,ok,exact
43,ALINTA ENERGY FINANCE PTY LTD,Augusta Power Stations,F,SA,9524596.0,2645721.0,2734413.0,7994.0,2742407,1.03,On,NEM,Brown Coal,2014,,"Augusta Power Stations, SA, Australia",-32.5417543,137.7921304,-32.5466399,-32.5368493,137.7813811,137.7950362,"Former Augusta Power Stations, Port Paterson, Port Augusta City Council, South Australia, 5700, Australia",way,264408515,nominatim,ok,exact
44,ALINTA ENERGY FINANCE PTY LTD,Bairnsdale Power Station,F,VIC,539356.0,149821.0,81092.0,1008.0,82100,0.54,On,NEM,Gas,2014,,"Bairnsdale Power Station, VIC, Australia",-37.8429177,147.5638553,-37.8434855,-37.842352,147.5631827,147.5645287,"Bairnsdale Power Station, Hillside, Shire of East Gippsland, Victoria, 3875, Australia",way,429890045,nominatim,ok,exact
45,ALINTA ENERGY FINANCE PTY LTD,Braemar Power Station,F,QLD,7907969.0,2196658.0,1243347.0,829.0,1244176,0.57,On,NEM,Coal Seam Methane,2014,,"Braemar Power Station, QLD, Australia",-27.1104344,150.9058045,-27.1116174,-27.109249,150.9040202,150.907145,"Braemar Power Station, Kogan, Western Downs Regional, Queensland, Australia",way,458400910,nominatim,ok,exact
46,ALINTA ENERGY FINANCE PTY LTD,Newman Power Station,F,WA,832806.0,231335.0,138146.0,0.0,138146,0.6,Off,Off-grid,Gas,2014,,"Newman Power Station, WA, Australia",-23.344375,119.7086163,-23.3458467,-23.3429033,119.707015,119.7102176,"Newman Alinta Power Station, Newman, Shire of East Pilbara, Western Australia, Australia",way,257064279,nominatim,ok,exact
47,ALINTA ENERGY FINANCE PTY LTD,Port Hedland Power Station,F,WA,1763554.0,489876.0,388562.0,0.0,388562,0.79,On,NWIS,Gas,2014,,"Port Hedland Power Station, WA, Australia",-20.4280204,118.5505995,-20.4301423,-20.4259388,118.5486153,118.5522303,"Port Hedland Power Station, Boodarie, Town Of Port Hedland, Western Australia, 6722, Australia",way,345239673,nominatim,ok,exact
48,APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,913852.0,253848.0,91.0,343.0,434,0.0,On,SWIS,Wind,2014,,"Emu Downs Wind Farm, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
49,ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,9370735.0,2602982.0,1530289.0,854.0,1531143,0.59,On,NEM,Coal Seam Methane,2014,,"Braemar 2 Power Station, QLD, Australia",-27.1128667,150.9054405,-27.1140497,-27.1117219,150.9037627,150.9071235,"Braemar 2 Power Station, Kogan, Western Downs Regional, Queensland, Australia",way,458400909,nominatim,ok,exact
50,ATCO AUSTRALIA PTY. LTD.,Karratha Power Station,F,WA,1706994.0,474165.0,270985.0,0.0,270985,0.57,On,NWIS,Gas,2014,,"Karratha Power Station, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
51,AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Belmont Administration & Kalamunda Facility,FA,WA,20.0,6.0,19.0,18.0,37,3.42,On,SWIS,Liquid Fuel,2014,,"LGP Belmont Administration & Kalamunda Facility, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
52,AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Canning Vale Facility,F,WA,2380.0,661.0,36.0,10.0,46,0.05,On,SWIS,Landfill Gas,2014,,"LGP Canning Vale Facility, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
53,AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Red Hill Facility,F,WA,91876.0,25521.0,1277.0,1.0,1278,0.05,On,SWIS,Landfill Gas,2014,,"LGP Red Hill Facility, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
54,AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Tamala Park Facility,F,WA,114770.0,31881.0,1588.0,2.0,1590,0.05,On,SWIS,Landfill Gas,2014,,"LGP Tamala Park Facility, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
55,AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,NSW,3486738.0,968538.0,460102.0,0.0,460102,0.48,On,NEM,Gas,2014,,"Smithfield Power Partnership, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
56,BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Condamine Power Station,F,QLD,2754361.0,765100.0,333565.0,526.0,334091,0.44,On,NEM,Gas,2014,,"Condamine Power Station, QLD, Australia",-26.6679436,150.269901,-26.6691407,-26.666991,150.2690166,150.2711596,"Condamine Power Station, Columboola, Western Downs Regional, Queensland, 4415, Australia",way,171582471,nominatim,ok,exact
57,BHP BILLITON IRON ORE PTY. LTD.,Yarnima Power Station IOP,F,WA,1652126.0,458924.0,307351.0,0.0,307351,0.67,Off,Off-grid,Gas,2014,,"Yarnima Power Station IOP, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
58,BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,6025829.0,1673841.0,1482015.0,2327.0,1484342,0.89,On,SWIS,Black Coal,2014,,"Bluewaters Power 1, WA, Australia",-33.3305202,116.2281911,-33.3346055,-33.3268399,116.2241381,116.2319893,"Bluewaters Power Station, Palmer, Shire Of Collie, Western Australia, Australia",way,26592976,nominatim,ok,exact
59,BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,6078158.0,1688377.0,1377635.0,1775.0,1379410,0.82,On,SWIS,Black Coal,2014,,"Bluewaters Power 2, WA, Australia",-33.3305202,116.2281911,-33.3346055,-33.3268399,116.2241381,116.2319893,"Bluewaters Power Station, Palmer, Shire Of Collie, Western Australia, Australia",way,26592976,nominatim,ok,exact
60,BPIH PTY LIMITED,Brookfield District Energy (GX) Pty Ltd,F,NSW,78204.0,21723.0,11861.0,22049.0,33910,0.55,On,NEM,Gas,2014,,"Brookfield District Energy (GX) Pty Ltd, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
61,CANUNDA POWER PTY LTD,Canunda Wind Farm,F,SA,445274.0,123687.0,17.0,156.0,173,0.0,On,NEM,Wind,2014,,"Canunda Wind Farm, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
62,CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,643940.0,178872.0,6032.0,1423.0,7455,0.03,On,NEM,Bagasse,2014,,"Broadwater Power Plant, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
63,CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,375693.0,104359.0,3007.0,1687.0,4694,0.03,On,NEM,Bagasse,2014,,"Condong Power Plant, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
64,CONTRACT POWER AUSTRALIA PTY LTD,FMG Cloud Break Mine Site Power Station,F,WA,643454.0,178737.0,110575.0,0.0,110575,0.62,Off,Off-grid,Diesel,2014,,"FMG Cloud Break Mine Site Power Station, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
65,CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,F,WA,50926.0,14146.0,10193.0,0.0,10193,0.72,Off,Off-grid,Diesel,2014,,"Norseman Gold Power Station, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
66,CS ENERGY LIMITED,Callide A Power Station,F,QLD,362952.0,100820.0,123177.0,43885.0,167062,1.22,On,NEM,Black Coal,2014,,"Callide A Power Station, QLD, Australia",-24.3343318,150.6274496,-24.3352647,-24.3329212,150.625715,150.6290588,"Callide Power Station A, Mount Murchison, Banana Shire, Queensland, Australia",way,119996556,nominatim,ok,exact
67,CS ENERGY LIMITED,Callide B Power Station,F,QLD,12706326.0,3529535.0,3285158.0,34530.0,3319688,0.93,On,NEM,Black Coal,2014,,"Callide B Power Station, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
68,CS ENERGY LIMITED,Callide C Power Station,F,QLD,19988727.0,5552424.0,4961514.0,20952.0,4982466,0.89,On,NEM,Black Coal,2014,"Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice. The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility, and a nomination of operational control has not been made.","Callide C Power Station, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
69,CS ENERGY LIMITED,Kogan Creek Power Station,F,QLD,20633364.0,5731490.0,4761463.0,2411.0,4763874,0.83,On,NEM,Black Coal,2014,,"Kogan Creek Power Station, QLD, Australia",-26.9175844,150.7522297,-26.9235718,-26.9121399,150.7444006,150.7596677,"Kogan Creek Power Station, Brigalow, Western Downs Regional, Queensland, Australia",way,584316903,nominatim,ok,exact
70,CS ENERGY LIMITED,Wivenhoe Power Station,F,QLD,72877.0,20244.0,23.0,50466.0,50489,0.0,On,NEM,Hydro,2014,,"Wivenhoe Power Station, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
71,CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,WA,2566405.0,712890.0,227.0,611.0,838,0.0,On,SWIS,Wind,2014,,"Collgar Wind Farm, WA, Australia",-31.5542197,118.4447189,-31.5543391,-31.554101,118.4444461,118.4449902,"Collgar Wind Farm Viewing Area, Bulls Head Road, South Burracoppin, Merredin, Shire Of Merredin, Western Australia, Australia",way,1251158119,nominatim,ok,exact
72,CWP RENEWABLES PTY LTD,Boco Rock Wind Farm Pty Ltd,F,NSW,751603.0,208779.0,55.0,720.0,775,0.0,On,NEM,Wind,2014,,"Boco Rock Wind Farm Pty Ltd, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
73,CWP RENEWABLES PTY LTD,Taralga Wind Farm Pty Ltd,F,NSW,265563.0,73768.0,20.0,128.0,148,0.0,On,NEM,Wind,2014,,"Taralga Wind Farm Pty Ltd, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
74,DELTA ELECTRICITY,Brown Mountain Power Station,F,NSW,48431.0,13453.0,6.0,0.0,6,0.0,On,NEM,Hydro,2014,,"Brown Mountain Power Station, NSW, Australia",-36.5952435,149.4741226,-36.5953546,-36.5950125,149.473894,149.4741654,"Brown Mountain Power Station Old Generator Hall, Power Station Road, Bemboka, Bega Valley Shire Council, New South Wales, 2550, Australia",way,290531815,nominatim,ok,exact
75,DELTA ELECTRICITY,Colongra PS,F,NSW,258467.0,71796.0,41565.0,3913.0,45478,0.58,On,NEM,Gas,2014,,"Colongra PS, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
